Date_dd/mm/yyyy_hours  Time(hours)  Outlet_Discharge(m3/s)
05/01/1980_02:42:04         98.70125018         22.23378887
05/01/1980_03:42:04         99.70125018         21.95260464
05/01/1980_04:42:04        100.70125018         21.66995230
05/01/1980_05:42:04        101.70125018         21.38234859
05/01/1980_06:42:04        102.70125018         21.08824912
05/01/1980_07:42:04        103.70125018         20.78662154
05/01/1980_08:42:04        104.70125018         20.47665104
05/01/1980_09:42:04        105.70125018         20.16310198
05/01/1980_10:42:04        106.70125018         19.84825062
05/01/1980_11:42:04        107.70125018         19.53246330
05/01/1980_12:42:04        108.70125018         19.22100766
05/01/1980_13:42:04        109.70125018         18.91602453
05/01/1980_14:42:04        110.70125018         18.61722340
05/01/1980_15:42:04        111.70125018         18.32839566
05/01/1980_16:42:04        112.70125018         18.04961760
05/01/1980_17:42:04        113.70125018         17.78139830
05/01/1980_18:42:04        114.70125018         17.52214593
05/01/1980_19:42:04        115.70125018         17.27459468
05/01/1980_20:42:04        116.70125018         17.03819155
05/01/1980_21:42:04        117.70125018         16.81024567
05/01/1980_22:42:04        118.70125018         16.59253813
05/01/1980_23:42:04        119.70125018         16.38397131
06/01/1980_00:42:04        120.70125018         16.18073128
06/01/1980_01:42:04        121.70125018         15.98347935
06/01/1980_02:42:04        122.70125018         15.79199538
06/01/1980_03:42:04        123.70125018         15.60499483
06/01/1980_04:42:04        124.70125018         15.42088992
06/01/1980_05:42:04        125.70125018         15.23792273
06/01/1980_06:42:04        126.70125018         15.05439156
06/01/1980_07:42:04        127.70125018         14.86894040
06/01/1980_08:42:04        128.70125018         14.68078156
06/01/1980_09:42:04        129.70125018         14.48980951
06/01/1980_10:42:04        130.70125018         14.29655225
06/01/1980_11:42:04        131.70125018         14.10201921
06/01/1980_12:42:04        132.70125018         13.90749789
06/01/1980_13:42:04        133.70125018         13.71435821
06/01/1980_14:42:04        134.70125018         13.52388368
06/01/1980_15:42:04        135.70125018         13.33716974
06/01/1980_16:42:04        136.70125018         13.15508354
06/01/1980_17:42:04        137.70125018         12.97826037
06/01/1980_18:42:04        138.70125018         12.80711411
06/01/1980_19:42:04        139.70125018         12.64187000
06/01/1980_20:42:04        140.70125018         12.48259706
06/01/1980_21:42:04        141.70125018         12.32924876
06/01/1980_22:42:04        142.70125018         12.18170038
06/01/1980_23:42:04        143.70125018         12.03977850
07/01/1980_00:42:04        144.70125018         11.90313198
07/01/1980_01:42:04        145.70125018         11.77168624
07/01/1980_02:42:04        146.70125018         11.64528612
07/01/1980_03:42:04        147.70125018         11.52369422
07/01/1980_04:42:04        148.70125018         11.40668746
07/01/1980_05:42:04        149.70125018         11.29404904
07/01/1980_06:42:04        150.70125018         11.18557003
07/01/1980_07:42:04        151.70125018         11.08105828
07/01/1980_08:42:04        152.70125018         10.98033810
07/01/1980_09:42:04        153.70125018         10.88325163
07/01/1980_10:42:04        154.70125018         10.78965150
07/01/1980_11:42:04        155.70125018         10.69939782
07/01/1980_12:42:04        156.70125018         10.61235875
07/01/1980_13:42:04        157.70125018         10.52838891
07/01/1980_14:42:04        158.70125018         10.44737401
07/01/1980_15:42:04        159.70125018         10.36919534
07/01/1980_16:42:04        160.70125018         10.29373598
07/01/1980_17:42:04        161.70125018         10.22087632
07/01/1980_18:42:04        162.70125018         10.15049454
07/01/1980_19:42:04        163.70125018         10.08248953
07/01/1980_20:42:04        164.70125018         10.01677776
